"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 22:02:10 CDT 2024","Wed Jul 17 22:02:11 CDT 2024","1458","","Home","","","","Open URL and assert title",""
"passed","Mon Jul 22 21:46:46 CDT 2024","Mon Jul 22 21:46:49 CDT 2024","2790","","Home","","","","Open URL and assert title",""
"passed","Mon Jul 22 21:46:44 CDT 2024","Mon Jul 22 21:46:46 CDT 2024","1403","","Home","","","","Click get website icon and assert url does not have get started",""
"broken","Mon Jul 22 21:46:43 CDT 2024","Mon Jul 22 21:47:43 CDT 2024","60013","","Home","","","","Open URL and assert title",""
"passed","Wed Jul 17 22:02:34 CDT 2024","Wed Jul 17 22:02:35 CDT 2024","963","","Home","","","","Find heading element and assert the text",""
"passed","Mon Jul 22 21:46:41 CDT 2024","Mon Jul 22 21:46:42 CDT 2024","1594","","Home","","","","Open URL and assert URL",""
"passed","Wed Jul 17 22:02:11 CDT 2024","Wed Jul 17 22:02:13 CDT 2024","1711","","Home","","","","Open URL and assert URL",""
"passed","Mon Jul 15 16:28:02 CDT 2024","Mon Jul 15 16:28:05 CDT 2024","2911","","Blog Page","","","","get list, assert length of 10, assert count of rows",""
"passed","Mon Jul 15 16:28:02 CDT 2024","Mon Jul 15 16:28:06 CDT 2024","3358","","Blog Page","","","","get list, assert length of 10, assert count of rows",""
"broken","Mon Jul 22 21:48:43 CDT 2024","Mon Jul 22 21:49:43 CDT 2024","60005","","Home","","","","Click get started button and assert url contains get started text",""
"failed","Wed Jul 17 22:02:13 CDT 2024","Wed Jul 17 22:02:24 CDT 2024","11144","","Home","","","","Click get started button and assert url contains get started text",""
"passed","Wed Jul 17 22:02:15 CDT 2024","Wed Jul 17 22:02:15 CDT 2024","864","","Home","","","","Click get website icon and assert url does not have get started",""
"broken","Mon Jul 22 21:49:43 CDT 2024","Mon Jul 22 21:50:14 CDT 2024","31259","","Home","","","","Click get website icon and assert url does not have get started",""
"passed","Mon Jul 22 21:46:54 CDT 2024","Mon Jul 22 21:46:55 CDT 2024","696","","Home","","","","Find heading element and assert the text",""
"passed","Wed Jul 17 22:02:13 CDT 2024","Wed Jul 17 22:02:15 CDT 2024","1558","","Home","","","","Click get started button and assert url contains get started text",""
"passed","Mon Jul 22 21:46:38 CDT 2024","Mon Jul 22 21:46:41 CDT 2024","2780","","Home","","","","Open URL and assert title",""
"passed","Mon Jul 22 21:46:46 CDT 2024","Mon Jul 22 21:46:47 CDT 2024","1152","","Home","","","","Find heading element and assert the text",""
"passed","Wed Jul 17 22:02:10 CDT 2024","Wed Jul 17 22:02:11 CDT 2024","1407","","Home","","","","Open URL and assert title",""
"failed","Wed Jul 17 22:02:24 CDT 2024","Wed Jul 17 22:02:34 CDT 2024","10292","","Home","","","","Click get website icon and assert url does not have get started",""
"passed","Mon Jul 15 16:28:02 CDT 2024","Mon Jul 15 16:28:06 CDT 2024","4365","","Blog Page","","","","get list, assert length of 10, assert count of rows",""
"passed","Wed Jul 17 22:02:11 CDT 2024","Wed Jul 17 22:02:13 CDT 2024","1720","","Home","","","","Open URL and assert URL",""
"passed","Mon Jul 22 21:46:49 CDT 2024","Mon Jul 22 21:46:50 CDT 2024","1519","","Home","","","","Open URL and assert URL",""
"passed","Wed Jul 17 22:02:15 CDT 2024","Wed Jul 17 22:02:15 CDT 2024","22","","Home","","","","Find heading element and assert the text",""
"passed","Mon Jul 22 21:46:53 CDT 2024","Mon Jul 22 21:46:54 CDT 2024","1653","","Home","","","","Click get website icon and assert url does not have get started",""
"passed","Mon Jul 22 21:46:42 CDT 2024","Mon Jul 22 21:46:44 CDT 2024","1931","","Home","","","","Click get started button and assert url contains get started text",""
"broken","Mon Jul 22 21:50:14 CDT 2024","Mon Jul 22 21:50:25 CDT 2024","10108","","Home","","","","Find heading element and assert the text",""
"broken","Mon Jul 22 21:47:43 CDT 2024","Mon Jul 22 21:48:43 CDT 2024","60005","","Home","","","","Open URL and assert URL",""
"passed","Mon Jul 22 21:46:50 CDT 2024","Mon Jul 22 21:46:53 CDT 2024","2251","","Home","","","","Click get started button and assert url contains get started text",""
